id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,Revenue CAGR (%),Net Profit CAGR (%),EPS CAGR (%),Asset CAGR (%),Operating Cash Ratio,Investment Ratio,Financing Ratio,Free Cash Flow Indicator,Cash Quality Score,Cashflow Rank
1,ABB,Dec 2012,8.77,12.0,22.41,0.0,,1.8225,42.0,59.0,68.0,3.081,25.0,0,101.0,11.44,19.94,19.98,15.41,0.7,-0.58,-0.42,42.0,88.0,339
2,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,11.0,144.0,93.0,3.7524,25.0,0,155.0,11.44,19.94,19.98,15.41,0.78,-0.93,-0.27,11.0,91.2,331
2,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,11.0,144.0,93.0,3.7524,25.0,0,155.0,11.44,19.94,19.98,15.41,0.0,0.0,0.0,0.0,0.0,473
3,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,0.0,0.0,93.0,3.7524,25.0,0,0.0,11.44,19.94,19.98,15.41,0.78,-0.93,-0.27,11.0,91.2,331
3,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,0.0,0.0,93.0,3.7524,25.0,0,0.0,11.44,19.94,19.98,15.41,0.0,0.0,0.0,0.0,0.0,473
4,ABB,Mar 2015,10.0,14.0,24.44,0.0,,1.6659,28.0,187.0,108.0,4.4619,29.0,0,215.0,11.44,19.94,19.98,15.41,0.94,-0.87,-0.27,28.0,97.6,314
4,ABB,Mar 2015,10.0,14.0,24.44,0.0,,1.6659,28.0,187.0,108.0,4.4619,29.0,0,215.0,11.44,19.94,19.98,15.41,-0.15,53.26,-54.34,-1899.0,-6.0,480
6,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,172.0,77.0,120.0,5.6905,29.0,0,249.0,11.44,19.94,19.98,15.41,6.05,-0.53,-0.47,728.0,302.0,74
6,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,172.0,77.0,120.0,5.6905,29.0,0,249.0,11.44,19.94,19.98,15.41,0.98,-0.31,-0.32,172.0,99.2,310
7,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,728.0,816.0,120.0,5.6905,29.0,0,1544.0,11.44,19.94,19.98,15.41,6.05,-0.53,-0.47,728.0,302.0,74
7,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,728.0,816.0,120.0,5.6905,29.0,0,1544.0,11.44,19.94,19.98,15.41,0.98,-0.31,-0.32,172.0,99.2,310
8,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,152.0,155.0,130.0,6.6048,31.0,0,307.0,11.44,19.94,19.98,15.41,7.9,-0.79,-0.21,459.0,376.0,49
8,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,152.0,155.0,130.0,6.6048,31.0,0,307.0,11.44,19.94,19.98,15.41,1.11,-0.5,-0.29,152.0,104.4,295
9,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,459.0,1730.0,130.0,6.6048,31.0,0,2189.0,11.44,19.94,19.98,15.41,7.9,-0.79,-0.21,459.0,376.0,49
9,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,459.0,1730.0,130.0,6.6048,31.0,0,2189.0,11.44,19.94,19.98,15.41,1.11,-0.5,-0.29,152.0,104.4,295
12,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,242.0,257.0,212.0,9.5619,31.0,0,499.0,11.44,19.94,19.98,15.41,5.76,-1.18,0.01,-459.0,230.4,113
12,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,242.0,257.0,212.0,9.5619,31.0,0,499.0,11.44,19.94,19.98,15.41,1.11,-0.52,-0.29,242.0,104.4,295
14,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,225.0,401.0,279.0,11.5762,90.0,175,626.0,11.44,19.94,19.98,15.41,9.17,-1.04,0.23,-206.0,366.8,50
14,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,225.0,401.0,279.0,11.5762,90.0,175,626.0,11.44,19.94,19.98,15.41,1.06,-0.64,-0.35,225.0,102.4,301
16,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,655.0,72.0,325.0,12.3905,85.0,153,727.0,11.44,19.94,19.98,15.41,5.48,-1.06,-0.2,-225.0,219.2,121
16,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,655.0,72.0,325.0,12.3905,85.0,153,727.0,11.44,19.94,19.98,15.41,1.05,-0.1,-0.8,655.0,102.0,302
18,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,552.0,396.0,376.0,13.4286,73.0,152,948.0,11.44,19.94,19.98,15.41,5.13,-0.96,-0.06,161.0,265.2,91
18,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,552.0,396.0,376.0,13.4286,73.0,152,948.0,11.44,19.94,19.98,15.41,1.19,-0.42,-0.67,552.0,107.6,287
19,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152,4097.0,11.44,19.94,19.98,15.41,5.13,-0.96,-0.06,161.0,265.2,91
19,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152,4097.0,11.44,19.94,19.98,15.41,1.19,-0.42,-0.67,552.0,107.6,287
20,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,745.0,148.0,447.0,15.181,73.0,113,893.0,11.44,19.94,19.98,15.41,3.98,-1.24,0.24,-922.0,159.2,173
20,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,745.0,148.0,447.0,15.181,73.0,113,893.0,11.44,19.94,19.98,15.41,0.94,-0.17,-0.72,745.0,97.6,314
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0,11.44,19.94,19.98,15.41,5.03,-0.82,-0.09,1095.0,261.20000000000005,95
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0,11.44,19.94,19.98,15.41,1.01,-0.34,-0.61,797.0,100.4,306
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83,6038.0,11.44,19.94,19.98,15.41,5.03,-0.82,-0.09,1095.0,261.20000000000005,95
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83,6038.0,11.44,19.94,19.98,15.41,1.01,-0.34,-0.61,797.0,100.4,306
66,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,8.65,7.39,7.15,7.42,1.85,-0.45,-0.52,8250.0,134.0,224
66,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,8.65,7.39,7.15,7.42,1.85,-0.45,-0.52,8250.0,134.0,224
78,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,8.65,7.39,7.15,7.42,1.85,-0.45,-0.52,8250.0,134.0,224
78,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0,8.65,7.39,7.15,7.42,1.85,-0.45,-0.52,8250.0,134.0,224
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0,19.12,,,6.06,0.68,0.25,-1.19,10689.0,87.2,340
111,APOLLOHOSP,Mar 2022,7.56,15.0,19.7,0.7235,6.7467,1.1057,949.0,747.0,73.0,7.8097,16.0,4068,1696.0,15.14,12.34,11.59,12.39,1.53,-0.44,-0.47,949.0,121.2,252
114,ASIANPAINT,Mar 2013,11.04,17.0,34.28,0.0742,44.0714,1.5483,724.0,463.0,12.0,3.525,40.0,251,1187.0,10.51,12.23,12.25,13.02,1.02,-0.39,-0.51,724.0,100.8,305
115,ASIANPAINT,Mar 2013,11.04,17.0,34.28,0.0742,44.0714,1.5483,724.0,463.0,12.0,3.525,40.0,251,1187.0,10.51,12.23,12.25,13.02,1.02,-0.39,-0.51,724.0,100.8,305
116,ASIANPAINT,Mar 2014,10.34,16.0,31.27,0.0616,44.3333,1.5133,816.0,586.0,13.0,4.2073,42.0,249,1402.0,10.51,12.23,12.25,13.02,1.11,-0.42,-0.45,816.0,104.4,295
117,ASIANPAINT,Mar 2014,10.34,16.0,31.27,0.0616,44.3333,1.5133,816.0,586.0,13.0,4.2073,42.0,249,1402.0,10.51,12.23,12.25,13.02,1.11,-0.42,-0.45,816.0,104.4,295
118,ASIANPAINT,Mar 2015,10.48,16.0,30.09,0.0881,56.7857,1.5274,723.0,465.0,15.0,4.9396,42.0,418,1188.0,10.51,12.23,12.25,13.02,0.83,-0.39,-0.48,723.0,93.2,326
